temp,dairy_manure_factor,other_manure_factor
10,48,1
11,50,1
12,53,1
13,55,1
14,58,1
15,63,2
16,65,2
17,68,2
18,71,2
19,74,2
20,78,2
21,81,2
22,85,2
23,89,2
24,93,2
25,98,2
26,105,2
27,110,2
28,112,2
